source,degeneracy_id,formula,is_ring,used_in_objective,log_P_exist,P_exist,individual_loss,C#C,C-C,C-O,C=C,C=O
positive,C10H19O_001,C10H19O,False,True,-0.42925157204736,0.6509961361482278,0.12180369698346633,0,9,0,0,1
positive,C10H19_001,C10H19,False,True,-0.38918774093109143,0.6776070434942725,0.10393721840450391,0,8,0,1,0
positive,C10H20O3_001,C10H20O3,False,True,-0.47341467251716096,0.6228717298297544,0.14222573216160178,0,9,1,0,1
positive,C10H20O_001,C10H20O,False,True,-0.42925157204736,0.6509961361482278,0.12180369698346633,0,9,0,0,1
positive,C10H20O_002,C10H20O,True,True,-0.5017387048790586,0.6054769981639734,0.15564839897770946,0,9,2,0,0
positive,C10H20_001,C10H20,False,True,-0.38918774093109143,0.6776070434942725,0.10393721840450391,0,8,0,1,0
positive,C10H21O2_001,C10H21O2,False,True,-0.45757560440925765,0.6328159835398349,0.13482410194381877,0,9,1,0,0
positive,C10H21O2_002,C10H21O2,False,True,-0.45757560440925765,0.6328159835398349,0.13482410194381877,0,9,1,0,0
positive,C10H21O4_001,C10H21O4,False,True,-0.5017387048790586,0.6054769981639734,0.15564839897770946,0,9,2,0,0
positive,C10H21O_001,C10H21O,False,True,-0.45757560440925765,0.6328159835398349,0.13482410194381877,0,9,1,0,0
positive,C10H21_001,C10H21,False,True,-0.41341250393945667,0.6613894008159139,0.1146571378798058,0,9,0,0,0
positive,C10H22O2_001,C10H22O2,False,True,-0.45757560440925765,0.6328159835398349,0.13482410194381877,0,9,1,0,0
positive,C10H22_001,C10H22,False,True,-0.41341250393945667,0.6613894008159139,0.1146571378798058,0,9,0,0,0
positive,C11H21O_001,C11H21O,False,True,-0.47518629470729956,0.6217692133612656,0.14305852796135585,0,10,0,0,1
positive,C11H21_001,C11H21,False,True,-0.4351224635910311,0.6471854055759798,0.12447813803858586,0,9,0,1,0
positive,C11H22O3_001,C11H22O3,False,True,-0.5193493951771005,0.59490747175961,0.16409995643619116,0,10,1,0,1
positive,C11H22O_001,C11H22O,False,True,-0.47518629470729956,0.6217692133612656,0.14305852796135585,0,10,0,0,1
positive,C11H22O_002,C11H22O,True,True,-0.5476734275389983,0.5782936886295665,0.17783621304965697,0,10,2,0,0
positive,C11H22_001,C11H22,False,True,-0.4351224635910311,0.6471854055759798,0.12447813803858586,0,9,0,1,0
positive,C11H23O2_001,C11H23O2,False,True,-0.5035103270691973,0.6044052713062632,0.15649518937027124,0,10,1,0,0
positive,C11H23O2_002,C11H23O2,False,True,-0.5035103270691973,0.6044052713062632,0.15649518937027124,0,10,1,0,0
positive,C11H23O4_001,C11H23O4,False,True,-0.5476734275389983,0.5782936886295665,0.17783621304965697,0,10,2,0,0
positive,C11H23O_001,C11H23O,False,True,-0.5035103270691973,0.6044052713062632,0.15649518937027124,0,10,1,0,0
positive,C11H23_001,C11H23,False,True,-0.4593472265993963,0.6316958652073391,0.1356479357053705,0,10,0,0,0
positive,C11H24O2_001,C11H24O2,False,True,-0.5035103270691973,0.6044052713062632,0.15649518937027124,0,10,1,0,0
positive,C11H24_001,C11H24,False,True,-0.4593472265993963,0.6316958652073391,0.1356479357053705,0,10,0,0,0
positive,C12H23O_001,C12H23O,False,True,-0.5211210173672391,0.5938544535322114,0.1649542049156186,0,11,0,0,1
positive,C12H23_001,C12H23,False,True,-0.4810571862509707,0.6181295681795638,0.14582502669872643,0,10,0,1,0
positive,C12H24O3_001,C12H24O3,False,True,-0.5652841178370401,0.568198688439664,0.18645237266522632,0,11,1,0,1
positive,C12H24O_001,C12H24O,False,True,-0.5211210173672391,0.5938544535322114,0.1649542049156186,0,11,0,0,1
positive,C12H24O_002,C12H24O,True,True,-0.5936081501989379,0.5523307926195117,0.20040771923667466,0,11,2,0,0
positive,C12H24_001,C12H24,False,True,-0.4810571862509707,0.6181295681795638,0.14582502669872643,0,10,0,1,0
positive,C12H25O2_001,C12H25O2,False,True,-0.5494450497291369,0.577270077692028,0.17870058721450405,0,11,1,0,0
positive,C12H25O2_002,C12H25O2,False,True,-0.5494450497291369,0.577270077692028,0.17870058721450405,0,11,1,0,0
positive,C12H25O4_001,C12H25O4,False,True,-0.5936081501989379,0.5523307926195117,0.20040771923667466,0,11,2,0,0
positive,C12H25O_001,C12H25O,False,True,-0.5494450497291369,0.577270077692028,0.17870058721450405,0,11,1,0,0
positive,C12H25_001,C12H25,False,True,-0.5052819492593359,0.6033354414627435,0.15734277199955657,0,11,0,0,0
positive,C12H26O2_001,C12H26O2,False,True,-0.5494450497291369,0.577270077692028,0.17870058721450405,0,11,1,0,0
positive,C12H26_001,C12H26,False,True,-0.5052819492593359,0.6033354414627435,0.15734277199955657,0,11,0,0,0
positive,C13H25O_001,C13H25O,False,True,-0.5670557400271787,0.567192946195511,0.18732194582292186,0,12,0,0,1
positive,C13H25_001,C13H25,False,True,-0.5269919089109103,0.5903782127438552,0.16779000859491838,0,11,0,1,0
positive,C13H26O3_001,C13H26O3,False,True,-0.6112188404969797,0.5426890144607419,0.20913333749488752,0,12,1,0,1
